"id-winter","winter","id-spring","spring","auth-id","course","rensponsible","day","day_for_order","time_spring_16","time_winter_15","classroom","place","team","team_for_order","teacher","url","team-description"
"SW04A007","winter","SA04A005","spring","ΕΠ0127","Μάθηση και Ανάπτυξη Κινητικών Δεξιοτήτων","Τζέτζης","Πέμπτη","4","15.00-16.30","15.00-16.30","Αιθ.   Συνεδριάσεων","Θέρμη","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=54","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04A008","winter","SA04A006","spring","ΕΠ0161","Όρια αθλητικής Απόδοσης","Χριστούλας","Πέμπτη","4","12.30-14.00","12.30-14.00","ΤΑΞΥΠ 1","ΑΠΘ","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=53","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04A009","winter","SA04A007","spring"," ΕΠ0149","Προπονητική Ομαδικών Αθλημάτων","Γαλαζούλας","Πέμπτη","4","15.00-16.30","15.00-16.30","ΤΑΞΥΠ 2","ΑΠΘ","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=51","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04A010","winter",,,"76","Ψυχολογική Προετοιμασία Αθλητών","Τσορμπατζούδης","Πέμπτη","4",,"16.45-18.15","Αιθ.   Συνεδριάσεων","Θέρμη","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=50","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04B001","winter","SA04B001","spring","ΕΠ0154","Άσκηση Ατόμων με Χρόνιες Παθήσεις","Κουϊδη","Πέμπτη","4","16.45-18.15","16.45-18.15","ΤΑΞΥΠ 4 ","ΑΠΘ","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=63","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
,,"SA04B002","spring","ΕΠΟ124","Άσκηση και Αισθητηριακές Διαταραχές","Φωτιάδου","Πέμπτη","4","15.00-16.30",,"Αίθουσα  Αθλητικών Κακώσεων & Φυσικοθεραπείας","Θέρμη","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=158","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW04B002","winter","SA04B003","spring","ΕΠ0163","Ειδικά Θέματα Τρίτης Ηλικίας","Μαυροβουνιώτης","Πέμπτη","4","18.30-20.00","18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=62","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
,,"SA04B006","spring","4","Οργάνωση και Λειτουργία Αθλητικών Ακαδημιών και Camps","Παπαδόπουλος","Πέμπτη","4","15.00-16.30",,"Αίθουσα Τένις","Θέρμη","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=61","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW04B005","winter",,,"ΕΠ0125 ","Παραολυμπιακά Αθλήματα","Τσιμάρας ","Πέμπτη","4",,"18.30-20.00","Αμφιθέατρο","Θέρμη","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=60","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW030003","winter","SA030003","spring","88","Αξιολόγηση Δύναμης & Νευρομυϊκός έλεγχος","Κοτζαμανίδης","Τετάρτη","3","18.30-20.00","18.30-20.00","ΤΑΞΥΠ2","ΑΠΘ","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=47","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
,,"SA04B009","spring","ΕΠ0165","Διδακτική της Φ.Α. στην Προσχολική Ηλικία","Τσορμπατζούδης","Τετάρτη","3","12.30-14.00",,"ΤΑΞΥΠ 1","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=73","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050004","winter",,,,"Επιχειρηματικότητα και Καινοτομία στον Αθλητικό Τομέα","Τζέτζης","Τετάρτη","3",,"18.00-21.00","Αίθουσα 1  Κτηρίο Σχολής Ν.Ο.Π.Ε. ",,"5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=164","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050010","winter",,,"ΕΠ0130 ","Φυσική αγωγή ως μέσο πρόληψης διαταραχών σωματικής υγείας","Μαυροβουνιώτης","Τετάρτη","3",,"18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=65","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
,,"SA04B016","spring","ΕΠ0130","Φυσική Αγωγή ως Μέσο Πρόληψης Διαταραχών Σωματικής Υγείας","Μαυροβουνιώτης","Τετάρτη","3","18.30-20.00",,"ΤΑΞΥΠ 1","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=65","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW060001","winter","SA060001","spring","21","Αεροβική γυμναστική","Τζέτζης","Τετάρτη","3","15.00-16.30","15.00-16.30","Τένις","Θέρμη","6","7",,"http://www.phed.auth.gr/etefaa/course/view.php?id=116","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060007","winter","SA060006","spring","9","Εκμάθηση Κολύμβησης","Αλεξίου","Τετάρτη","3","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=108","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060012","winter","SA060008","spring","33","Κωπηλασία","Αλεξίου","Τετάρτη","3","12.30-14.00","12.30-14.00","ΟΦΘ ",,"6","7","Αργυράκης  ","http://www.phed.auth.gr/etefaa/course/view.php?id=99","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060015","winter","SA060009","spring","49","Ναυαγοσωστική","Κουτλιάνος","Τετάρτη","3","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο ","ΑΠΘ","6","7","Κουτλιάνος","http://www.phed.auth.gr/etefaa/course/view.php?id=97","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
,,"SA060010","spring","17","Οργάνωση Κατασκηνώσεων","ΙωαννίδουΙωαννίδου","Τετάρτη","3","12.30-14.00",,"ΤΑΞΥΠ 3 ","ΑΠΘ","6","7",,"http://www.phed.auth.gr/etefaa/course/view.php?id=101","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060016","winter","SA060011","spring","34","Παιδαγωγικά Παιχνίδια","Χατζόπουλος","Τετάρτη","3","12.30-14.00","12.30-14.00","Παν/κό  Γυμν. Αίθουσα 18","ΑΠΘ","6","7","Χατζόπουλος Μπαρκούκης","http://www.phed.auth.gr/etefaa/course/view.php?id=94","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060022","winter",,,,"Ταεκβοντό","Ζαγγελίδης ","Τετάρτη","3",,"12.30-14.00","Παν/κό  Γυμν. Αίθουσα 45 ","ΑΠΘ","6","7","Μπέης","http://www.phed.auth.gr/etefaa/course/view.php?id=87","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060023","winter","SA060013","spring","80","Τεχνικές Ασκήσεων Ανάπτυξης Δύναμης & Ταχυδύναμης","Μάνου ","Τετάρτη","3","12.30-14.00","12.30-14.00","Αίθουσα Τένις Θέρμης","Θέρμη","6","7","Σιώπης  ",,"ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060025","winter","SA060014","spring","ΕΠ018","Τραμπολίνο","Κουτλιάνος","Τετάρτη","3","12.30-14.00","12.30-14.00","Πανεπιστημιακό Γυμναστήριο","ΑΠΘ","6","7","Κουτλιάνος","http://www.phed.auth.gr/etefaa/course/view.php?id=113","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060026","winter","SA060015","spring","45","Υδατοσφαίριση","Μαμελετζή","Τετάρτη","3","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Μαμελετζή","http://www.phed.auth.gr/etefaa/course/view.php?id=82","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060029","winter","SA060017","spring","55","Χιονοδρομία","Δούκα","Τετάρτη","3","12.30-14.00","12.30-14.00","ΤΑΞΥΠ 4","ΑΠΘ","6","7","Δούκα","http://www.phed.auth.gr/etefaa/course/view.php?id=79","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
,,"SA04B007","spring","ΕΠ0125","Παραολυμπιακά Αθλήματα ","Τσιμάρας","Τετάρτη","3","16.45-18.15",,"Αμφιθέατρο","Θέρμη","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=60","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW04B006","winter",,,"ΕΠ0144 ","Ψυχοκινητική Αγωγή σε Άτομα με Αναπηρίες","Σιδηροπούλου ","Τετάρτη","3",,"18.30-20.00","Αμφιθέατρο","Θέρμη","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=59","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW030002","winter","SA030002","spring","98","Αθλητική Καρδιολογία","Δεληγιάννης","Τρίτη","2","12.30-14.00","12.30-14.00","Αίθουσα 1 ","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=48","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW030007","winter","SA030007","spring","38","Εφαρμοσμένη Αθλητιατρική","Κουϊδή","Τρίτη","2","12.30-14.00","12.30-14.00","Αίθουσα 2","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=42","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
,,"SA030010","spring","ΕΠ0159","Μέθοδοι Έρευνας και Στατιστική ","Μπαρκούκης","Τρίτη","2","18.30-20.00",,"ΤΑΞΥΠ 2","ΑΠΘ","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=176","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
,,"SA030012","spring","ΕΠ0152","Προσαρμοσμένη Φυσική Δραστηριότητα","Τσιμάρας","Τρίτη","2","18.30-20.00",,"Αμφιθέατρο","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=38","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW030008","winter","SA030013","spring","42","Πρώτες βοήθειες – Παθολογία Αθλουμένων","Κουϊδή","Τρίτη","2","16.45-18.15","16.45-18.15","ΤΑΞΥΠ 4","ΑΠΘ","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=37","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW050003","winter","SA04B010","spring","ΕΠ0192","Ειδικά Θέματα Ολυμπιακής Παιδείας - Οικολογίας","Καϊμακάμης","Τρίτη","2","18.30-20.00","18.30-20.00","Αίθουσα 1","Θέρμη","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=178","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050006","winter","SA04B013","spring","ΕΠΟ167","Θεραπευτικές Εφαρμογές της Άσκησης","Μαμελετζή","Τρίτη","2","16.45-18.15","16.45-18.15","ΤΑΞΥΠ 1 ","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=70","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050009","winter","SA04B015","spring","ΕΠ0169","Παχυσαρκία και Φυσική Δραστηριότητα","Μαυροβουνιώτης","Τρίτη","2","18.30-20.00","18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=168","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
,,"SA04B018","spring","ΕΠ0191","Ψυχολογία Φυσικής Αγωγής και Φυσικής Δραστηριότητας","Μπαρκούκης","Τρίτη","2","16.45-18.15",,"ΤΑΞΥΠ 2","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=177","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW060006","winter","SA060005","spring","ΕΠ0142","Ειδικές Εφαρμογές της Αθλητικής Φυσικοθεραπείας","Συκαράς","Τρίτη","2","18.30-20.00","18.30-20.00","ΤΑΞΥΠ 3 ","ΑΠΘ","6","7","Συκαράς","http://www.phed.auth.gr/etefaa/course/view.php?id=174","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060011","winter","SA060007","spring","59","Καταδύσεις","Αλεξίου","Τρίτη","2","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=102","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060018","winter","SA060012","spring","6","Πετοσφαίριση Παραλίας","Γιάτσης","Τρίτη","2","12.30-14.00","12.30-14.00","Ε.Γ.   Μίκρας","Μίκρα","6","7","Γιάτσης","http://www.phed.auth.gr/etefaa/course/view.php?id=92","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060024","winter","SA060013","spring","37","Τζούντο","Τσορμπατζούδης","Τρίτη","2","12.30-14.00","12.30-14.00","Παν/κό  Γυμν. Αίθουσα 45 ","ΑΠΘ","6","7",,"http://www.phed.auth.gr/etefaa/course/view.php?id=85","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060027","winter","SA060016","spring","3","Υδρογυμναστική – Υδροαεροβική","Αλεξίου","Τρίτη","2","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=81","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW04A001","winter","SA04A001","spring","02Α","Απόδοση σε Διαφορετικές Περιβαλλοντικές Συνθήκες","Χριστούλας ","Τρίτη","2","12.30-14.00","12.30-14.00","ΤΑΞΥΠ 2 ","ΑΠΘ","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=58","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04A002","winter","SA04A002","spring","58","Βιοκινητική Αξιολόγηση της Αθλητικής Απόδοσης ","Κόλλιας","Τρίτη","2","18.30-20.00","18.30-20.00","Εργαστήριο Βιοκινητικής","Θέρμη","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=57","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04A006","winter","SA04A004","spring","87","Ετήσιος Σχεδιασμός Αθλητικής Προπόνησης","Κέλλης,Μάνου ","Τρίτη","2","12.30-14.00","12.30-14.00","ΤΑΞΥΠ 1","ΑΠΘ","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=157","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"